Title,Year,genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Wild,2014,Adventure|Biography|Drama,English,USA,R,115,2.35,15000000,37877959,Jean-Marc Vallée,Michiel Huisman,Kevin Rankin,Gaby Hoffmann,86664,252,349,7.1
Winter's Tale,2014,Drama|Fantasy|Mystery|Romance,English,USA,PG-13,118,2.35,60000000,22451,Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,41288,126,189,6.2
Wish I Was Here,2014,Comedy|Drama,English,USA,R,106,2.35,6000000,3588432,Zach Braff,Jim Parsons,Josh Gad,Michael Weston,29341,93,149,6.7
Wolves,2014,Action|Horror,English,France,R,91,2.35,18000000,,David Hayter,Jason Momoa,Jennifer Hale,Stephen McHattie,5693,34,59,5.3
X-Men: Days of Future Past,2014,Action|Adventure|Fantasy|Sci-Fi|Thriller,English,USA,PG-13,149,2.35,200000000,233914986,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,514125,752,539,8
Z Storm,2014,Action|Crime,Cantonese,Hong Kong,,92,2.35,7000000,,David Lam,Michael Wong,Louis Koo,Stephen Au,383,1,12,5.3
#Horror,2015,Drama|Horror|Mystery|Thriller,English,USA,Not Rated,101,,1500000,,Tara Subkoff,Timothy Hutton,Balthazar Getty,Lydia Hearst,1547,42,35,3.3
10 Days in a Madhouse,2015,Drama,English,USA,R,111,1.85,12000000,14616,Timothy Hines,Christopher Lambert,Kelly LeBrock,Alexandra Callas,314,10,1,7.5
90 Minutes in Heaven,2015,Drama,English,USA,PG-13,121,2.35,5000000,4700361,Michael Polish,Hayden Christensen,Bobby Batson,Cynthia Barrett,2047,29,12,4.6
A Tale of Three Cities,2015,Drama,Chinese,China,,130,2.35,12000000,,Mabel Cheung,Wei Tang,Ching Wan Lau,Hailu Qin,117,6,6,6.2
A Warrior's Tail,2015,Adventure|Animation|Fantasy,Russian,Russia,,85,,30000000,,Maksim Fadeev,Konstantin Khabenskiy,Fedor Bondarchuk,Sergey Garmash,393,7,5,4.1
Abandoned,2015,Drama,English,New Zealand,,86,,,,John Laing,Siobhan Marshall,Peter Feeney,Rachel Nash,333,6,,6.3
Accidental Love,2015,Comedy|Romance,English,USA,PG-13,100,1.85,26000000,,David O. Russell,Jake Gyllenhaal,Kirstie Alley,Beverly D'Angelo,5006,28,56,4
Adulterers,2015,Crime|Drama|Thriller,English,USA,,91,2.35,750000,,H.M. Coakley,Mehcad Brooks,Steffinnie Phrommany,Danielle Savre,514,1,8,4.9
Aloha,2015,Comedy|Drama|Romance,English,USA,PG-13,105,1.85,37000000,20991497,Cameron Crowe,Emma Stone,Bradley Cooper,Bill Murray,39778,172,138,5.4
Aloha,2015,Comedy|Drama|Romance,English,USA,PG-13,105,1.85,37000000,20991497,Cameron Crowe,Emma Stone,Bradley Cooper,Bill Murray,39782,172,138,5.4
Alvin and the Chipmunks: The Road Chip,2015,Adventure|Animation|Comedy|Family|Fantasy|Music,English,USA,PG,92,1.85,90000000,85884815,Walt Becker,Bella Thorne,Joshua Mikel,Jesse McCartney,9418,53,70,5
America Is Still the Place,2015,History,English,USA,,90,,,,Patrick Gilles,Emma Caulfield,Dylan Baker,Mike Colter,22,,,7.5
American Hero,2015,Action|Comedy|Drama|Sci-Fi,English,USA,,86,,990000,,Nick Love,Eddie Griffin,Christopher Berry,Michelle Tabora,2706,23,16,4.9
Animal Kingdom: Let's go Ape,2015,Adventure|Animation|Comedy|Family,French,France,,101,,,,Jamel Debbouze,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,590,5,9,4.9
Anomalisa,2015,Animation|Comedy|Drama|Romance,English,USA,R,90,2.35,8000000,3442820,Duke Johnson,Jennifer Jason Leigh,Tom Noonan,David Thewlis,31489,140,328,7.3
Antarctic Edge: 70° South,2015,Adventure|Documentary,English,USA,,72,,150000,4914,Dena Seidel,Naderev Sano,Hugh Ducklow,Mike Brett,123,2,5,7
Ant-Man,2015,Action|Adventure|Comedy|Sci-Fi,English,USA,PG-13,117,1.85,130000000,180191634,Peyton Reed,Judy Greer,Hayley Atwell,T.I.,313866,549,517,7.4
Area 51,2015,Horror|Sci-Fi|Thriller,English,USA,R,91,,5000000,,Oren Peli,Glenn Campbell,Sandra Staggs,Jelena Nik,7888,55,56,4.2
Avengers: Age of Ultron,2015,Action|Adventure|Sci-Fi,English,USA,PG-13,141,2.35,250000000,458991599,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,462669,1117,635,7.5
AWOL-72,2015,Thriller,English,USA,R,82,,3000000,,Christian Sesma,Bokeem Woodbine,Brooke Newton,Brett Wagner,520,8,6,3.9
Baahubali: The Beginning,2015,Action|Adventure|Drama|Fantasy|War,Telugu,India,,159,1.85,18026148,6498000,S.S. Rajamouli,Tamannaah Bhatia,Anushka Shetty,Prabhas,62756,410,44,8.4
Bizarre,2015,Drama|Musical|Romance,English,France,Unrated,98,1.78,500000,,Étienne Faure,Rumi Missabu,Pierre Prieur,Raquel Nave,569,1,9,4.3
Black Mass,2015,Biography|Crime|Drama,English,USA,R,123,2.35,53000000,62563543,Scott Cooper,Johnny Depp,Benedict Cumberbatch,Adam Scott,115216,289,391,7
Blackhat,2015,Action|Crime|Drama|Mystery|Thriller,English,USA,R,133,2.35,70000000,7097125,Michael Mann,Chris Hemsworth,Archie Kao,Brandon Molale,38983,207,261,5.4
Bleeding Hearts,2015,Horror,English,USA,,100,,1200000,,Dylan Bank,Seregon O'Dassey,Deirdre Lorenz,Dustin Diamond,71,2,7,4.2
Bridge of Spies,2015,Drama|History|Thriller,English,USA,PG-13,142,2.35,40000000,72306065,Steven Spielberg,Tom Hanks,Mark Rylance,Amy Ryan,178118,355,459,7.6
Broken Horses,2015,Action|Crime|Drama|Mystery|Thriller,English,USA,R,101,2.35,15000000,,Vidhu Vinod Chopra,María Valverde,Chris Marquette,Chad Bishop,1554,20,22,5.7
Brooklyn,2015,Drama|Romance,English,UK,PG-13,111,1.85,11000000,38317535,John Crowley,Julie Walters,Fiona Glascott,Eva Birthistle,73249,212,351,7.5
Brotherly Love,2015,Drama,English,USA,R,89,1.85,1900000,444044,Jamal Hill,Logan Browning,Adam Ratcliffe,Faizon Love,744,19,10,7.2
Burnt,2015,Comedy|Drama,English,USA,R,101,2.35,20000000,13650738,John Wells,Bradley Cooper,Omar Sy,Riccardo Scamarcio,61360,129,175,6.6
By the Sea,2015,Drama|Romance,English,USA,R,122,2.35,10000000,531009,Angelina Jolie Pitt,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,7976,61,131,5.3
Captive,2015,Crime|Drama|Thriller,English,USA,PG-13,97,1.85,2000000,2557668,Jerry Jameson,David Oyelowo,Leonor Varela,Sydelle Noel,3911,22,39,5.3
Censored Voices,2015,Documentary|History,Hebrew,Israel,,84,1.78,450000,34151,Mor Loushy,Amos Oz,,,186,3,23,7.2
Chain of Command,2015,Action|Thriller,English,USA,R,88,1.33,5000000,,Kevin Carraway,Michael Jai White,Max Ryan,Jon Osbeck,801,14,11,3.5
Chappie,2015,Action|Crime|Drama|Sci-Fi|Thriller,English,USA,R,120,2.35,49000000,31569268,Neill Blomkamp,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,172965,627,371,6.9
Checkmate,2015,Action|Crime|Thriller,English,USA,,97,2.35,1500000,,Timothy Woodward Jr.,Katrina Law,Johnny Messner,Michael Paré,735,18,6,3.1
Chiamatemi Francesco - Il Papa della gente,2015,Biography,Spanish,Italy,,98,,15000000,,Daniele Luchetti,Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere,80,4,4,5.7
Child 44,2015,Crime|Drama|Thriller,English,Czech Republic,R,137,2.35,50000000,1206135,Daniel Espinosa,Tom Hardy,Fares Fares,Michael Nardone,40568,185,172,6.4
Christmas Eve,2015,Comedy,English,USA,PG,95,,,,Mitch Davis,Gary Cole,Jon Heder,Cheryl Hines,1091,15,6,5.1
Cinderella,2015,Drama|Family|Fantasy|Romance,English,USA,PG,105,2.35,95000000,201148159,Kenneth Branagh,Hayley Atwell,Derek Jacobi,Lily James,103737,322,343,7
Cinderella,2015,Drama|Family|Fantasy|Romance,English,USA,PG,105,2.35,95000000,201148159,Kenneth Branagh,Hayley Atwell,Derek Jacobi,Lily James,103749,323,343,7
Circle,2015,Drama|Horror|Mystery|Sci-Fi|Thriller,English,USA,Not Rated,87,,,,Aaron Hann,Jordi Vilasuso,Michael McLafferty,Kaiwi Lyman-Mersereau,13279,59,29,6
Close Range,2015,Action|Crime,English,USA,,80,,3000000,,Isaac Florentine,Anthony L. Fernandez,Nick Chinlund,Scott Evans,2425,31,28,4.9
Concussion,2015,Biography|Drama|Sport,English,UK,PG-13,123,2.35,35000000,34531832,Peter Landesman,Will Smith,Eddie Marsan,Albert Brooks,44788,138,219,7.1
Containment,2015,Horror|Sci-Fi|Thriller,English,UK,,77,,,,Neil Mcenery-West,Walter Hendrix III,Michael Chapman,Louise Brealey,1355,21,33,4.8
Counting,2015,Documentary,English,USA,,111,1.78,50000,,Jem Cohen,,,,61,1,12,6
Courage,2015,Biography|Drama|Sport,English,USA,PG,118,2.35,20000000,2246000,Angelo Pizzo,Donny Boaz,Finn Wittrock,Brent Anderson,2302,20,27,7
Creative Control,2015,Drama|Sci-Fi,English,USA,R,97,2.39,1000000,62480,Benjamin Dickinson,Nora Zehetner,Alexia Rasmussen,Meredith Hagner,1048,7,36,5.5
Creed,2015,Drama|Sport,English,USA,PG-13,133,2.35,35000000,109712885,Ryan Coogler,Sylvester Stallone,Phylicia Rashad,Graham McTavish,146708,362,437,7.7
Criminal Activities,2015,Crime|Drama|Thriller,English,USA,,94,2.35,7000000,,Jackie Earle Haley,Rex Baker,Edi Gathegi,Travis Aaron Wade,5255,38,46,5.8
Daddy's Home,2015,Comedy|Family,English,USA,PG-13,96,1.85,50000000,150315155,Sean Anders,Will Ferrell,Linda Cardellini,Mark L. Young,54010,130,145,6.1
Dancin' It's On,2015,Family|Musical,English,USA,PG,89,,12000000,,David Winters,Gary Daniels,Matt Marr,Ginger Jensen,105,7,3,2.8
Danny Collins,2015,Comedy|Drama|Music,English,USA,R,106,,10000000,5348317,Dan Fogelman,Al Pacino,Jennifer Garner,Melissa Benoist,20810,100,139,7.1
Demonic,2015,Horror|Thriller,English,USA,R,83,,3000000,,Will Canon,Frank Grillo,Scott Mechlowicz,Aaron Yoo,7358,39,58,5.3
Departure,2015,Drama|Family|Romance,English,UK,,109,1.85,1100000,,Andrew Steggall,Juliet Stevenson,Alex Lawther,Niamh Cusack,162,5,29,7
Diamond Ruff,2015,Action,English,USA,R,82,,500000,,Alec Asten,Luis Sanchez,Dennis L.A. White,Fredro Starr,53,5,1,4.3
Do You Believe?,2015,Drama,English,USA,PG-13,120,,2300000,12985267,Jon Gunn,Alexa PenaVega,Delroy Lindo,Madison Pettis,4977,63,11,5.9
Dope,2015,Comedy|Crime|Drama,English,USA,R,103,2.35,7000000,17474107,Rick Famuyiwa,Kimberly Elise,Rick Fox,Kiersey Clemons,56605,89,180,7.3
Dragon Blade,2015,Action|Adventure|Drama|History,Mandarin,China,R,103,2.35,65000000,72413,Daniel Lee,Si Won Choi,Peng Lin,Sung-jun Yoo,11584,86,68,6.1
Dutch Kills,2015,Crime|Drama|Thriller,English,USA,,90,,25000,,Joseph Mazzella,Tjasa Ferme,Mikaal Bates,Damon Owlia,57,2,,4.8
Eden,2015,Drama|Thriller,English,Spain,R,90,,,,Shyam Madiraju,Jessica Lowndes,Ethan Peck,Brad Schmidt,1351,4,5,4.8
Everest,2015,Adventure|Biography|Drama|History|Sport|Thriller,English,UK,PG-13,121,2.35,55000000,43247140,Baltasar Kormákur,Michael Kelly,Martin Henderson,Tom Goodman-Hill,134625,265,361,7.1
Evolution,2015,Drama|Horror|Mystery|Sci-Fi,French,France,,81,2.35,,,Lucile Hadzihalilovic,Nissim Renard,Roxane Duran,Julie-Marie Parmentier,979,3,63,6.4
Ex Machina,2015,Drama|Mystery|Sci-Fi|Thriller,English,UK,R,108,2.35,15000000,25440971,Alex Garland,Elina Alminas,Sonoya Mizuno,Corey Johnson,289508,611,489,7.7
Exeter,2015,Horror|Mystery|Thriller,English,USA,R,91,1.85,,,Marcus Nispel,Ashley Tramonte,Brittany Curran,Lindsay MacDonald,3836,33,43,4.6
Fantastic Four,2015,Action|Adventure|Sci-Fi,English,USA,PG-13,100,2.35,120000000,56114221,Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,110486,695,369,4.3
Fantastic Four,2015,Action|Adventure|Sci-Fi,English,USA,PG-13,100,2.35,120000000,56114221,Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,110486,695,369,4.3
Fear Clinic,2015,Horror,English,USA,R,95,2.35,1000000,,Robert Hall,Angelina Armani,Kevin Gage,Fiona Dourif,6256,19,39,5.2
Fifty Shades of Grey,2015,Drama|Romance,English,USA,R,129,2.35,40000000,166147885,Sam Taylor-Johnson,Jennifer Ehle,Luke Grimes,Callum Rennie,220020,1360,362,4.1
Focus,2015,Comedy|Crime|Drama|Romance,English,USA,R,105,1.85,50100000,53846915,Glenn Ficarra,Will Smith,Adrian Martinez,Gerald McRaney,149337,221,279,6.6
Forsaken,2015,Drama|Western,English,Canada,R,90,2.35,11000000,,Jon Cassar,Demi Moore,Landon Liboiron,Michael Wincott,4693,49,45,6.3
Forsaken,2015,Drama|Western,English,Canada,R,90,2.35,11000000,,Jon Cassar,Demi Moore,Landon Liboiron,Michael Wincott,4693,49,45,6.3
Freeheld,2015,Biography|Drama|Romance,English,USA,PG-13,103,1.85,7000000,532988,Peter Sollett,Steve Carell,Josh Charles,Luke Grimes,5863,25,133,6.5
Furious 7,2015,Action|Crime|Thriller,English,USA,PG-13,140,2.35,190000000,350034110,James Wan,Jason Statham,Paul Walker,Vin Diesel,278232,657,424,7.2
Get Hard,2015,Comedy|Crime,English,USA,R,107,1.85,40000000,90353764,Etan Cohen,Will Ferrell,Alison Brie,Craig T. Nelson,85629,144,173,6
Goddess of Love,2015,Drama|Horror|Mystery|Thriller,English,USA,,93,2.35,,,Jon Knautz,Rachel Alig,Monda Scott,Alexis Kendra,522,5,12,5.4
Goosebumps,2015,Adventure|Comedy|Family|Fantasy|Horror,English,USA,PG,103,2.35,58000000,80021740,Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino,47968,154,218,6.4
Goosebumps,2015,Adventure|Comedy|Family|Fantasy|Horror,English,USA,PG,103,2.35,58000000,80021740,Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino,47988,154,218,6.4
Green Room,2015,Crime|Horror|Music|Thriller,English,USA,R,95,2.35,5000000,3219029,Jeremy Saulnier,Alia Shawkat,Mark Webber,Joe Cole,28845,125,322,7.1
Growing Up Smith,2015,Comedy|Drama|Family,English,USA,PG-13,102,1.85,2000000,,Frank Lotito,Brighton Sharbino,Jake Busey,Tim Guinee,108,1,,8.2
Heist,2015,Action|Crime|Thriller,English,USA,R,93,2.35,19000000,,Scott Mann,Robert De Niro,Joshua Mikel,D.B. Sweeney,16193,57,44,6.1
Heist,2015,Action|Crime|Thriller,English,USA,R,93,2.35,19000000,,Scott Mann,Robert De Niro,Joshua Mikel,D.B. Sweeney,16198,57,44,6.1
Heroes of Dirt,2015,Action|Drama|Sport,English,USA,PG-13,98,,,,Eric Bugbee,Joel Moody,Bill Allen,Lia Tucker,53,1,2,7.1
Home,2015,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,English,USA,PG,94,1.85,135000000,177343675,Tim Johnson,Jim Parsons,Matt Jones,April Winchell,70121,214,165,6.7
Home,2015,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,English,USA,PG,94,1.85,135000000,177343675,Tim Johnson,Jim Parsons,Matt Jones,April Winchell,70133,214,165,6.7
Home,2015,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,English,USA,PG,94,1.85,135000000,177343675,Tim Johnson,Jim Parsons,Matt Jones,April Winchell,70136,214,165,6.7
Hot Pursuit,2015,Action|Comedy|Crime,English,USA,PG-13,87,2.35,35000000,34507079,Anne Fletcher,Jim Gaffigan,Richard T. Jones,Michael Mosley,34948,118,155,5.1
Hot Tub Time Machine 2,2015,Comedy|Sci-Fi,English,USA,R,99,1.85,14000000,12282677,Steve Pink,Adam Scott,Gillian Jacobs,Collette Wolfe,28159,96,107,5.1
Hotel Transylvania 2,2015,Animation|Comedy|Family|Fantasy,English,USA,PG,89,1.85,80000000,169692572,Genndy Tartakovsky,Steve Buscemi,Adam Sandler,Fran Drescher,56501,97,152,6.7
In the Heart of the Sea,2015,Action|Adventure|Biography|Drama|History|Thriller,English,USA,PG-13,122,1.85,100000000,24985612,Ron Howard,Chris Hemsworth,Benjamin Walker,Frank Dillane,71782,161,289,7
Inside Out,2015,Adventure|Animation|Comedy|Drama|Family|Fantasy,English,USA,PG,95,1.85,175000000,356454367,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,345198,773,536,8.3
Insidious: Chapter 3,2015,Fantasy|Horror|Thriller,English,Canada,PG-13,97,2.35,10000000,52200504,Leigh Whannell,Lin Shaye,Hayley Kiyoko,Leigh Whannell,54190,183,242,6.1
Insurgent,2015,Adventure|Sci-Fi|Thriller,English,USA,PG-13,119,2.35,110000000,129995817,Robert Schwentke,Kate Winslet,Theo James,Mekhi Phifer,154621,258,263,6.3
Into the Grizzly Maze,2015,Action|Horror|Thriller,English,USA,R,94,1.85,10000000,,David Hackl,Scott Glenn,Michaela McManus,Luisa D'Oliveira,4486,38,48,5.3
Ip Man 3,2015,Action|Biography|Drama|History,Cantonese,Hong Kong,PG-13,105,2.35,36000000,2126511,Wilson Yip,Mike Tyson,Lynn Hung,Kwok-Kwan Chan,21912,45,78,7.2
Joy,2015,Biography|Comedy|Drama,English,USA,PG-13,124,1.85,60000000,56443482,David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,75329,256,315,6.6
Julija in alfa Romeo,2015,Comedy,Slovenian,Slovenia,,83,2.35,500000,,Blaz Zavrsnik,Dario Nozic Serini,Spela Colja,Andrej Nahtigal,86,2,2,6.4
Jupiter Ascending,2015,Action|Adventure|Sci-Fi,English,USA,PG-13,127,2.35,176000000,47375327,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,139593,720,384,5.4
Jurassic World,2015,Action|Adventure|Sci-Fi|Thriller,English,USA,PG-13,124,2,150000000,652177271,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,418214,1290,644,7
Karachi se Lahore,2015,Comedy|Family,Urdu,Pakistan,,,,1000000,,Wajahat Rauf,Rasheed Naz,Ayesha Omar,Javed Sheikh,876,15,6,7
Krampus,2015,Comedy|Fantasy|Horror,English,USA,PG-13,98,2.35,15000000,42592530,Michael Dougherty,Adam Scott,Conchata Ferrell,Allison Tolman,29867,181,198,6.2
Legend,2015,Biography|Crime|Drama|History|Thriller,English,UK,R,132,2.35,30000000,1865774,Brian Helgeland,Tom Hardy,Paul Anderson,Tara Fitzgerald,87682,174,260,7
Little Boy,2015,Drama|War,English,Mexico,PG-13,106,2.35,20000000,6420319,Alejandro Monteverde,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,15978,122,45,7.4
Love the Coopers,2015,Comedy,English,USA,PG-13,107,2.35,17000000,26284475,Jessie Nelson,Olivia Wilde,Alex Borstein,Timothée Chalamet,9051,68,97,5.7
Mad Max: Fury Road,2015,Action|Adventure|Sci-Fi|Thriller,English,Australia,R,120,2.35,150000000,153629485,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,552503,1588,739,8.1
Maggie,2015,Drama|Horror,English,USA,PG-13,95,2.35,8500000,131175,Henry Hobson,Joely Richardson,J.D. Evermore,David A Cole,30219,200,256,5.6
Magic Mike XXL,2015,Comedy|Drama|Music,English,USA,R,115,2.35,14800000,66009973,Gregory Jacobs,Matt Bomer,Channing Tatum,Kevin Nash,38202,135,222,5.7
Max,2015,Adventure|Family,English,USA,PG,111,2.35,20000000,42652003,Boaz Yakin,Jay Hernandez,Joseph Julian Soria,Edgar Arreola,18915,87,61,6.8
"McFarland, USA",2015,Biography|Drama|Sport,English,USA,PG,129,2.35,17000000,44469602,Niki Caro,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,23480,83,113,7.4
Me You and Five Bucks,2015,Comedy|Drama|Romance,English,USA,,93,,1500000,,Jaime Zevallos,Angela Sarafyan,Jaime Zevallos,Michael Elian,7,,,7.6
Mi America,2015,Crime|Drama,English,USA,R,125,2.35,2100000,3330,Robert Fontaine,Michael Derek,Arturo Castro,Brad Lee Wind,22,1,4,7.2
Minions,2015,Action|Animation|Comedy|Family|Sci-Fi,English,USA,PG,91,1.85,74000000,336029560,Kyle Balda,Steve Carell,Jon Hamm,Steve Coogan,142403,275,308,6.4
Mission: Impossible - Rogue Nation,2015,Action|Adventure|Thriller,English,China,PG-13,131,2.35,150000000,195000874,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,232187,440,465,7.4
Mortdecai,2015,Action|Comedy|Mystery|Romance,English,UK,R,107,2.35,60000000,7605668,David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,47320,188,181,5.5
Navy Seals vs. Zombies,2015,Action|Horror,English,USA,,97,,,,Stanton Barrett,Mikal Vega,Michael Dudikoff,Ed Quinn,928,14,21,3.4
No Escape,2015,Action|Thriller,English,USA,R,103,1.85,5000000,27285953,John Erick Dowdle,Sterling Jerins,Claire Geare,Sahajak Boonthanakit,48675,214,203,6.8
Our Brand Is Crisis,2015,Comedy|Drama,English,USA,R,107,1.85,28000000,6998324,David Gordon Green,Dominic Flores,Zoe Kazan,Scoot McNairy,11476,50,125,6.1
Pan,2015,Adventure|Family|Fantasy,English,USA,PG,111,2.35,150000000,34964818,Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,39956,186,256,5.8
Pan,2015,Adventure|Family|Fantasy,English,USA,PG,111,2.35,150000000,34964818,Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,39956,186,256,5.8
Pan,2015,Adventure|Family|Fantasy,English,USA,PG,111,2.35,150000000,34964818,Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,39975,186,256,5.8
Paper Towns,2015,Drama|Mystery|Romance,English,USA,PG-13,109,2.35,12000000,31990064,Jake Schreier,Nat Wolff,Cara Delevingne,Meg Crosbie,63390,160,191,6.4
Paul Blart: Mall Cop 2,2015,Action|Comedy|Crime,English,USA,PG,94,1.85,30000000,71038190,Andy Fickman,D.B. Woodside,Daniella Alonso,Eduardo Verástegui,23473,123,76,4.4
Pitch Perfect 2,2015,Comedy|Music,English,USA,PG-13,115,1.85,29000000,183436380,Elizabeth Banks,Anna Kendrick,Birgitte Hjort Sørensen,Hana Mae Lee,97697,185,221,6.5
Pixels,2015,Action|Animation|Comedy|Sci-Fi,English,USA,PG-13,106,2.35,88000000,78747585,Chris Columbus,Peter Dinklage,Adam Sandler,Josh Gad,89770,342,253,5.6
Point Break,2015,Action|Crime|Sport|Thriller,English,USA,PG-13,114,2.35,105000000,28772222,Ericson Core,Ray Winstone,Edgar Ramírez,Delroy Lindo,33953,163,163,5.3
Point Break,2015,Action|Crime|Sport|Thriller,English,USA,PG-13,114,2.35,105000000,28772222,Ericson Core,Ray Winstone,Edgar Ramírez,Delroy Lindo,33958,163,163,5.3
Pound of Flesh,2015,Action|Thriller,English,Canada,R,104,1.85,7500000,,Ernie Barbarash,Darren Shahlavi,Aki Aleong,Brahim Achabbakhe,4099,29,36,5.1
Project Almanac,2015,Sci-Fi|Thriller,English,USA,PG-13,106,2.35,12000000,22331028,Dean Israelite,Gary Weeks,Jonny Weston,Sofia Black-D'Elia,57349,177,177,6.4
Queen Crab,2015,Action|Sci-Fi|Thriller,English,USA,,80,,75000,,Brett Piper,Michelle Simone Miller,Steve Diasparra,A.J. DeLucia,48,18,18,4.5
R.L. Stine's Monsterville: The Cabinet of Souls,2015,Comedy,English,USA,PG,85,1.78,4400000,,Peter DeLuise,Katherine McNamara,Dove Cameron,Braeden Lemasters,917,4,5,5.9
Regression,2015,Crime|Drama|Mystery|Thriller,English,Spain,R,106,2.35,,54734,Alejandro Amenábar,Emma Watson,Aaron Ashmore,Julian Richings,20821,62,140,5.7
Re-Kill,2015,Action|Horror,English,USA,R,88,1.78,9500000,,Valeri Milev,Daniella Alonso,Roger Cross,Jesse Garcia,1763,26,18,5.1
Road Hard,2015,Comedy,English,USA,,98,,1500000,105943,Adam Carolla,Jay Mohr,Jim O'Heir,David Alan Grier,1351,11,14,6.1
Romantic Schemer,2015,Romance,English,USA,PG-13,,,125000,,Valentine,Diane Sorrentino,Valentine,,172,,,5.1
Room,2015,Drama,English,Ireland,R,118,2.35,13000000,14677654,Lenny Abrahamson,Joan Allen,Jacob Tremblay,Cas Anvar,161288,351,421,8.3
Rotor DR1,2015,Family|Sci-Fi,English,USA,,98,2.35,350000,,Chad Kapper,Tom E. Nicholson,Natalie Welch,Christian Kapper,209,8,4,3.4
Run All Night,2015,Action|Crime|Drama|Thriller,English,USA,R,114,2.35,50000000,26442251,Jaume Collet-Serra,Liam Neeson,Common,Bruce McGill,76010,205,236,6.6
Running Forever,2015,Family,English,USA,,88,,5000000,,Mike Mayhall,David Raizor,Cody Howard,Martin Kove,8,,,8.6
San Andreas,2015,Action|Adventure|Drama|Thriller,English,USA,PG-13,114,2.35,110000000,155181732,Brad Peyton,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,147497,499,358,6.1
Sardaar Ji,2015,Romance,Panjabi,Canada,,141,,3000000,,Rohit Jugraj,Bhavkhandan Singh Rakhra,Neeru Bajwa,Diljit Dosanjh,745,8,1,6.6
Secret in Their Eyes,2015,Crime|Drama|Mystery|Thriller,English,USA,PG-13,111,2.35,19500000,,Billy Ray,Julia Roberts,Michael Kelly,Joe Cole,20186,81,155,6.2
Self/less,2015,Action|Mystery|Sci-Fi|Thriller,English,USA,PG-13,117,2.35,26000000,12276810,Tarsem Singh,Ryan Reynolds,Derek Luke,Sandra Ellis Lafferty,57674,126,178,6.5
Shark Lake,2015,Thriller,English,USA,Not Rated,92,,2000000,,Jerry Dugan,Melissa Bolona,Michael Aaron Milligan,James Chalke,838,17,18,3.4
Sharkskin,2015,Comedy|Drama|Mystery|Romance|Thriller,English,USA,,100,2.39,2100000,,Dan Perri,Travis Myers,David Proval,Carmen Argenziano,6,1,1,6.7
Shooting the Warwicks,2015,Comedy|Drama,English,USA,,95,,250000,,Adam Rifkin,Marri Savinar,Adam Rifkin,Bethany Blakey,81,1,4,6.2
Sicario,2015,Action|Crime|Drama|Mystery|Thriller,English,USA,R,121,2.39,30000000,46875468,Denis Villeneuve,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya,196217,461,478,7.6
Sinister 2,2015,Horror|Mystery|Thriller,English,USA,R,97,2.35,10000000,27736779,Ciarán Foy,Laila Haley,James Ransone,Jaden Klein,25210,126,189,5.2
Slow West,2015,Western,English,UK,R,84,1.66,,229094,John Maclean,Michael Fassbender,Kodi Smit-McPhee,Ben Mendelsohn,27650,88,246,6.9
Southpaw,2015,Drama|Sport,English,USA,R,124,2.35,30000000,52418902,Antoine Fuqua,Jake Gyllenhaal,50 Cent,Oona Laurence,147128,277,305,7.5
Spectre,2015,Action|Adventure|Thriller,English,UK,PG-13,148,2.35,245000000,200074175,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,275868,994,602,6.8
